0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153
DAY,SR NO,HOURS,2 CO 1,,2 CO 2,,2 CO 3,,2 CO 4,,2 CO 5,,2 CO 6,,2 CO 7,,2 CO 8,, 2 COE 9,,2 CO 10,,2 CO 11,,2 CO 12,,2 CO 13,,2 CO 14,,2 CO 15,,2 CO 16,,2 CO 17,,2 CO 18,,2 CO 19,,2 CO 20,,2 CO 21,,2 CO 22,,2 CO 23,,2 CO 24,,2 CO 25,,2 CO 26,, 2CO 27 ,,2  CO 28,,2 CO 29,,2 CO 30,,2 CO 31,,2 CO 32,,2 CO 33,, 2CO 34,,2  CO 35,,2 CO 36,,2 UoQ,,2 UNSW,,2 UoT ,,2 TCD,,2 CS 1,,2 CS 2,,2 CS 3,,2 CS 4,,2 CS 5,,2 CS 6,,2 CS 7,,2 CS 8,,2 CS 9,,2 CS 10,,2 EC 1,,2 EC 2,,2 EC 3,,2 EC 4,,2 EC 5,,2 EC 6,,2 EC 7,,2 EC 8,,2 EC 9,,2 EC 10,,2NC TCD,,2NC UNSW,,2 NC 1,,2 NC 2,,2 NC 3,,2 NC 4,,2 NC 5,,2 NC 6,,2 NC 7,,2 NC 8,,2 NC 9,,2 NC 10,,2 NC 11,,2 NC 12,,DAY,SR NO,HOURS
,1,08:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UCS414 L,,,,,,,,,,UTA024 P,,UTA024 P,,,,,,UCS411 P,,UCS310 P,,UCS310 P,,,,,,UCS411 P,,,,,,,,,,UCS415 L,,,,,,,,,,UCS414 P,,UCS414 P,,,,UCS503 P,,UCS415 P,,,,,,,,,,UEC404 P,,,,,,,,,,,,,,,,UEC513 P,,UTA024 P,,UNC401 P,,,,,,UEC612 P,,,,,,,,,,,,,,,1,08:00:00
M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LT302,,,,,,,,,VVK,PROJECT,,C,,,,,,SS-2,,DBMS-1,,DBMS-2,,,,,,SS-1,,,,,,,,,,LT401,,,,,,,,,MSH,NS-1,,NS-2,,,,SE-2,,DS-1,,,,,,,,,,DSP,,,,,,,,,,,,,,,,MCES,,ED-1A,,AI,,,,,,FPGA,,,,,,,,,,,,,,M,,
,2,8:50:AM ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UTA026 L,,,,,,,,,,UCS310 L,,,,,,,,,,LAB,,LAB,,,,,,LAB,,LAB,,LAB,,,,,,LAB,,,,,,,,,,UCS411 L,,,,,,,,,,LAB,,LAB,,,,LAB,,LAB,,UEC867 T,,UEC301 T,,,,,,LAB,,,,,,,,,,,,UMA035 L,,UEC612 L,,LAB,,LAB,,LAB,,,,,,LAB,,UMA035 L,,,,,,UEC612 L,,,,,,,2,8:50:AM 
O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LT301,,,,,,,,,SAT,LT302,,,,,,,,,SKH,APC6,,PF4,,,,,,SBN-RA,,JHB,,SRO,,,,,,DET,,,,,,,,,,LT401 ,,,,,,,,,JNE,ANU-RA,,CHK-RA,,,,HMK,,RMT,,E203,BG,E202,APC8,,,,,APC7,,,,,,,,,,,,F106,FM,F104,ARP,APC16,,KRK-RA,,DGS,,,,,,APC9,,F106,,,,,FM,F104,,,,,ARP,O,,
,3,9:40: AM ,UES035 P,,UES035 P,,UCS310 P,,,,UCS310 P,,,,UES035 P,,UTA024 P,,UES035 P,,UTA024 P,,,,,,,,,,,,,,UTA024 P,,UTA024 P,,,,,,,,,,,,UCS414 P,,UCS414 P,,,,,,,,,,,,,,,,,,UCS310 P,,UCS310 P,,,,,,UNC401 L,,,,UMA035 P,,UMA035 P,,UMA035 P,,UMA035 P,,UMA035 P,,UMA035 P,,UCS415 P,,UCS415 P,,UCS411 P,,UCS411 P,,UCS503 P,,UMA035 L,,,,,,,,UEC513 P,,UEC404 P,,UEC301 P,,,,UTA025 P,,,,UEC513 L,,UTA024 L,,UNC401 L,,,,,,UNC401 P,,,,UEC404 T,,UEC513 L,,,,,,UTA024 L,,,,,,,3,9:40: AM 
N,,,ISD,,TFS,,DBMS-1,,,,LAB,,,,BMC,,ED-1A,,IOT,,ED-2,,,,,,,,,,,,,,PROJECT,,C,,,,,,,,,,,,NS-1,,NS-2,,,,,,,,,,,,,,,,,,PL-3,,PL-IV,,,,,,F107,VK,,,,,,,,,PG,,FIST,,NEW,,DS-1,,DS-2,,SS-2,,SS-1,,SE-1,,F105,,,,,,,JPR,MCES,,DSP,,EL,,,,E202,,,,F106,NEC5,F104,ASM/RSJ,F107,,,,,VK,AI,,,,E209,SNJ,F106,,,,,NEC5,F104,,,,,ASM/RJS,N,,
,4,10:30: AM,LAB,,LAB,,LAB,,,,DBMS-2,,,,LAB,,LAB,,LAB,,LAB,,,,,,,,,,,,,,LAB,,LAB,,,,,,,,,,,,LAB,,LAB,,,,,,,,,,,,,,,,,,LAB,,LAB,,,,,,UEC404 L,,UMA017 T,,LAB-1,,LAB-1,,LAB-2,,LAB,,LAB,,LAB,,LAB,,LAB,,LAB,,LAB,,LAB,,UEC404 L,,,,,,,,LAB,,LAB,,LAB,,UEC867 T,,LAB,,,,UEC612 L,,UEC404 L,,UEC404 L,,,,,,LAB,,UEC404 T,,UEC612 T,,UEC612 L,,,,,,UEC404 L,,,,,,,4,10:30: AM
D,,,RCH,,DM,,RKR,,,,SKH,,,,VKM,,NAD-RA,,TA9,,RSD-RA,,,,,,,,,,,,,,PF3,,APC14,,,,,,,,,,,,SR,,MCL,,,,,,,,,,,,,,,,,,AAD,,NSH-RA,,,,,,F107,KBS,T204,SJK,LC1,,MR,,AK,,LC17/LC18,,LC21/LC22,,LC5/LC6,,SSA,,SHD,,SAK,,SOL,,PRM-RA,,F105,,,,,,,SS,GDS,,ST,,HS,,E203,AKC,VS,,,,F106,MB,F104,RVK,F107,,,,,KBS,AUS,,E209,AKS,E204,ARP,F106,,,,,MB,F104,,,,,RVK,D,,
,5,11:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UCS415 P,,UES035 L,,,,,,,,,,UCS415 L,,,,,,,,,,UTA024 P,,UTA024 P,,,,,,UCS310 P,,UCS410 L,,UCS410 L,,UMA017 L,,,,,,,,,,,,,,UCS503 L,,,,,,,,,,UEC301 L,,,,,,,,UES018 P,,UEC301 P,,UEC867 T,,UEC513 P,,UEC404 P,,UMA035 P,,UTA024 P,,UEC513 L,,UEC612 L,,,,,,UEC404 L,,,,,,UNC401 P,,UEC612 P,,UTA024 P,,UEC513 L,,,,,,,5,11:20:00
A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DS-2 LAB,,LT102,,,,,,,,,SWT,LT302,,,,,,,,,MNS,PROJECT,,C,,,,,,DBMS-1,,F109,SD,F109,SD,T103,SJK,,,,,,,,,,,,,LT401,,,,,,,,,ASH,F105,,,,,,,RAK,MFT,,EL,,E203,RPN,MCES,,DSP,,,,ED-2,,F104,DN,F107,,,,,AA,F106,,,,,SNJ,AI,,FPGA,,ED-2,,F104,,,,,DN,A,,
,6,12:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCS-RA,,,,,,,,,,,,UCS310 L,,,,,,,,,,LAB,,LAB,,,,,,LAB,,,,,,,,UMA035 L,,,,,,,,,,,,UMA035 L,,,,,,,,,,UEC867 L,,,,,,,,LAB,,LAB,,,,LAB,,LAB,,LAB-2,,LAB,,UEC502 L,,UTA025 L,,,,,,UEC612 L,,,,,,LAB,,LAB,,LAB,,UEC612 T,,UEC612 T,,,,,6,12:10:00
Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LT302,,,,,,,,,VAP,JSK,,PF9,,,,,,AV,,,,,,,,LT401 ,NK,,,,,,,,,,,LT401,,,,,,,,,RJD,F105,,,,,,,AKC,MA,,AAR,,,,SUK,,AKK,,TV,,AKV,,E202,NHS,F107,,,,,KSS,F106,,,,,AS,VK,,RSK/APC9,,AKV,,B109,ARP,E203,AA,,,Y,,
,7,13:00:00,UES035 L,,,,,,,,,,,,,,,,,,,,,,UTA024 L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UES035 L,,UES035 L,,UMA035 L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,13:00:00
,,,LT103,,,,,,,,,,,RCH,,,,,,,,,,,LT302,,,,,,,,,AMK-2/SRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LT103,RCH,LT103,RCH,LT401,,,,,,,,,RKR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,13:50:00,UCS411 L,,,,,,,,,,,,UTA024 P,,UTA024 P,,UCS414 P,,UCS414 P,,UES035 P,,UCS411 L,,,,,,,,,,UES035 P,,,,UCS411 P,,UCS411 P,,,,UTA026 L,,,,,,,,,,UTA024 P,,UTA024 P,,UCS310 P,,UCS310 P,,,,,,UES035 P,,UCS415 P,,UES035 P,,UCS415 P,,UCS411 L,,,,UCS411 L,,UCS411 L,,UCS414 L,,,,,,,,,,,,,,,,,,,,UEC301 P,,UES018 P,,,,,,,,,,UEC301 T,,,,UES018 P,,,,UEC612 T,,UEC404 T,,,,,,,,,,,,,,,,,,UEC612 T,,,,,,UEC404 T,,,8,13:50:00
,,,LT103,,,,,,,,,,,SAK,PROJECT,,C,,NS-1,,NS-2,,BMC,,LT302,,,,,,,,,SMR,IOT,,,,SS-1,,SS-2,,,,LT301,,,,,,,,,SAT,ED-1A,,ED-2,,DBMS-1,,DBMS-2,,,,,,TFS,,DS-1,,ISD,,DS-2,,LT103,SAK,,,LT103,SAK,LT103,SAK,LT401,,,,,,,,,MCL,,,,,,,,,,,EL,,MFT,,,,,,,,,,E203,HS,,,MFT,,,,B109,MB,E209,RVK,,,,,,,,,,,,,,,,,B109,MB,,,,,E209,RVK,,,
,9,14:40:00,UCS310 L,,,,,,,,,,,,LAB,,LAB,,LAB,,LAB,,LAB,,UCS414 L,,,,,,,,,,LAB,,,,LAB,,LAB,,,,UTA024 L,,,,,,,,,,LAB,,LAB,,LAB,,LAB,,,,,,LAB,,LAB,,LAB,,LAB,,UCS310 L,,UCS310 L,,UCS310 L,,UCS310 L,,UCS310 L,,,,,,,,,,UCS415 L,,,,,,,,,,LAB,,LAB,,,,UEC857 T,,UMA035 L,,,,,,UEC404 T,,LAB,,,,UEC404 T,,,,UMA035 L,,,,,,UNC401 L,,,,,,,,,,UEC404 T,,UMA035 L,,,,,,,9,14:40:00
,,,LT103,,,,,,,,,,,RKR,PF-3,,PF-4,,SMG,,VVK,,VVK,,LT302,,,,,,,,,SAL,SNP,,,,JNE,,PRY-RA,,,,LT301,,,,,,,,,DN/AKV,NAW-RA,,KRK-RA,,NSH-RA,,VAP,,,,,,TA8,,DPK,,DBM,,BHR-CRA,,LT103,RKR,LT103,RKR,LT103,RKR,LT103,RKR,LT401,,,,,,,,,AAD,LT402,,,,,,,,,SSA,APC8,,MA,,,,E209,BG,F105,,,,,VKS,E203,ST,MA,,,,B109,AKS,,,F107,,,,,SJK,F104,,,,,AUS,,,,,B109,AKS,F106,,,,,AK,,,
,10,15:30:00,,,UCS310 P,,UCS414 P,,UCS414 P,,UCS415 P,,UCS310 P,,UCS415 L,,,,,,,,,,UTA024 P,,UTA024 P,,UCS411 P,,UTA024 P,,,,,,,,,,,,,,,,,,,,UTA024 P,,,,UES025 L,,,,,,,,,,UCS411 L,,,,,,,,,,,,UEC513 P,,,,UES020 L,,,,,,,,,,,,UCS310 L,,,,,,,,,,UEC513 P,,UEC404 P,,UMA035 P,,UMA035 P,,UEC513 L,,,,,,UMA035 L,,,,,,UES020 L,,,,UTD002 T,,,,,,,,UTD002 T,,,,,,,,UTD002 T,,,,,,,,,10,15:30:00
,,,,,DBMS-2,,NS-1,,NS-2,,DS-2,,DBMS-1,,LT302,,,,,,,,,SHD,PROJECT,,C,,SS-2,,ED-1A,,,,,,,,,,,,,,,,,,,,ED-2,,,,LT402,,,,,,,,,ANP,LT301,,,,,,,,,SMR,,,MCES,,,,B105,NS/JPK,,,,,,,,,,,LT401,,,,,,,,,CHP,MCES,,DSP,,,,PG,,F105,,,,,NEC6,F107,,,,,MR,B105,NS/JPK,,,LT102,,,,,,,,LT102,,,,,,,,LT102,,,,,,,,,,
,11,16:20:00,,,LAB,,LAB,,LAB,,LAB,,LAB,,UCS414 L,,,,,,,,,,LAB,,LAB,,LAB,,LAB,,,,,,,,,,,,,,,,,,,,LAB,,,,UCS411 L,,,,,,,,,,UTA024 L,,,,,,,,,,,,LAB,,,,UES020 P,,,,,,,,,,,,UCS411 L,,,,,,,,,,LAB,,LAB,,LAB-2,,LAB,,UEC301 T,,UEC867 T,,UEC404 T,,UEC513 L,,,,,,UES020 P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,16:20:00
,,,,,DAM-RA,,SHS,,ANY-RA,,MNS,,RRN,,LT302,,,,,,,,,SR,AMK-1,,HVR,,RIG-RA,,ASM,,,,,,,,,,,,,,,,,,,,RJH-RA,,,,LT402,,,,,,,,,SIK,LT301,,,,,,,,,DG/AKV,,,,,,,WRE,,,,,,,,,,,,LT401,,,,,,,,,ABJ,SKR,,SS,,LC9/LC10,,MG,,E201,AAR,E202,RPN,E203,AKK,F107,,,,,SUK,WRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,17:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,17:10:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,18:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,18:00:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,18:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,18:50:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,08:00:00,,,,,,,,,,,,,UCS415 L,,,,,,,,,,,,,,UCS415 P,,UCS415 P,,,,UCS310 P,,UCS414 P,,UTA024 P,,UTA024 P,,UCS414 P,,UES035 P,,,,UES035 P,,,,UTA024 P,,UCS415 P,,UCS415 P,,UCS411 P,,,,,,UTA024 P,,,,,,UTA024 P,,,,,,UEC404 P,,,,,,UCS503 L,,,,,,,,,,,,UCS310 P,,,,,,UCS411 P,,UMA035 P,,UMA035 P,,UTA025 P,,,,,,,,,,,,,,,,,,,,,,,,UEC513 P,,,,,,,,,,,,,,UEC404 P,,UMA035 P,,UMA035 P,,,1,08:00:00
T,,,,,,,,,,,,,,,LT302,,,,,,,,,SHD,,,,,PL-1,,PL-2,,,,DBMS-1,,NS-1,,PROJECT,,C,,NS-2,,ISD,,,,IOT,,,,ED-1A,,DS-1,,DS-2,,SS-1,,,,,,ED-1B,,,,,,ED-2,,,,,,DSP,,,,,,LT401,,,,,,,,,HMK,,,DBMS-2,,,,,,SS-2,,,,,,E202,,,,,,,,,,,,,,,,,,,,,,,,MCES,,,,,,,,,,,,,,DSP,,PG,,FIST,,T,,
,2,08:50:00,,,,,,,,,,,,,UCS310 L,,,,,,,,,,,,,,LAB,,LAB,,,,LAB,,LAB,,LAB,,LAB,,LAB,,LAB,,,,LAB,,,,LAB,,LAB,,LAB,,LAB,,,,,,LAB,,,,,,LAB,,,,,,LAB,,,,,,UCS415 L,,,,,,,,,,,,LAB,,,,,,LAB,,LAB-1,,LAB-2,,ASO,,,,UES018 L,,,,,,,,,,,,UTA025 L,,UEC502 L,,UEC612 T,,,,LAB,,UEC404 L,,,,,,UTA025 L,,,,,,LAB,,LAB,,LAB,,,2,08:50:00
U,,,,,,,,,,,,,,,LT302,,,,,,,,,RRN,,,,,PLK-RA,,DPK,,,,DAM-RA,,SAL,,PF-3,,APC6,,RTA-RA,,SWT,,,,TA9,,,,NAD-RA,,MDY-RA,,TNV-RA,,SAK,,,,,,GRC-RA,,,,,,DIS-RA,,,,,,ST,,,,,,LT401 ,,,,,,,,,MSH,,,HSM-RA,,,,,,SMR,,LC1/LC2,,LC11/LC12,,,,,,F105,,,,,MA/DG,,,,,,,F107,PMS,E205,NHS,E203,APC9,,,SUK,,F104,,,,,SNJ,F107,,,,,PMS,ST,,FM,,LC17/LC18,,U,,
,3,09:40:00,UCS414 P,,UCS414 P,,UTA024 P,,UTA024 P,,,,UCS415 P,,,,,,,,,,,,UES035 P,,UES035 P,,UTA024 P,,UES035 P,,UTA024 P,,UCS414 L,,,,,,,,,,,,,,,,,,,,,,,,UCS415 P,,,,UES035 P,,UCS411 P,,UCS411 P,,UTA024 P,,,,UES035 P,,,,,,,,UES020 L,,UCS503 P,,UCS503 P,,UCS310 P,,UCS411 P,,UCS310 P,,UCS310 L,,,,,,,,,,UEC404 P,,UEC513 P,,UEC867 T,,UEC301 P,,UEC404 L,,,,,,,,,,,,UES020 L,,UTA025 L,,UEC513 L,,,,,,UEC513 L,,,,,,UEC612 P,,UNC401 P,,UEC404 P,,UTA025 L,,,,,,,3,09:40:00
E,,,NS-1,,NS-2,,PROJECT,,C,,,,DS-1,,,,,,,,,,,,BMC,,IOT,,ED-1A,,ISD,,ED-2,,LT302,,,,,,,,,MCL,,,,,,,,,,,,,,,DS-2,,,,TFS,,PL-3,,PL-4,,ED-1B,,,,ISD,,,,,,,,B106,JPK,SE-1,,SE-2,,DBMS-1,,SS-1,,DBMS-2,,LT401,,,,,,,,,CHP,DSP,,MCES,,E203,AKC,EL,,F105,,,,,AKK,,,,,,,B106,NS/JPK,F106,GG,F107,,,,,KSS,F104,,,,,GDS,FPGA,,AI,,DSP,,F106,,,,,GG,E,,
