0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153
Y,,,,,,,,,,,RCH,,NJS,,,,,,,,,,DAM-RA,,LT301,,,,,,,,,SKK,LT402,,,,,,,,,SNP,LT302,,,,,,,,,JNE,,,SOL,,,,,,SHD,,SMG,,MCL,,APC6,,PF6,,DIS-RA,,MNS,,F107,VK,,,MNS,,LT401,,,,,,,,,HMK,CHP,,,,ASH,,,,,,E203,ST,,,,,,,F105,,,,,HS,F104,,,,,BG,F106,DGS,E209,MB,F107,,,,,VK,AS,,SUR,,RVK,,F106,,,,,DGS,DG,,GUS-CRA,,E209,MB,Y,,
,10,15:30:00,UCS411 P,,UCS411 P,,UTA024 P,,UTA024 P,,,,,,UTA026 L,,,,,,,,,,,,,,,,,,,,UTA026 P,,,,,,,,,,UCS414 P,,UCS414 P,,,,UES035 P,,,,,,,,,,,,,,,,,,,,,,,,UTA024 P,,,,,,,,UCS310 P,,UCS310 P,,UCS503 P,,UCS503 P,,UVCS415 P,,UCS415 L,,,,,,,,,,UES018 P,,UEC301 P,,UEC404 P,,UEC513 P,,UMA035 L,,,,,,UES018 P,,,,UEC404 T,,UMA035 P,,UTA025 P,,UTA025 P,,UTA025 P,,UTA024 P,,UTA024 P,,,,UMA035 P,,UTA025 P,,UTA025 P,,UMA035 P,,UMA035 P,,UTA025 P,,UTA025 P,,,10,15:30:00
,,,SS-1,,SS-2,,ED-1A,,ED-2,,,,,,LT302,,,,,,,,,PKC,,,,,,,,,,,WORKSHOP,,,,,,,,,,NS-1,,NS-2,,,,IOT,,,,,,,,,,,,,,,,,,,,,,,,ED-1B,,,,,,,,DBMS-1,,DBMS-2,,SE-1,,SE-2,,DS-2,,LT401,,,,,,,,,SSA,MFT,,EL,,DSP,,MCES,,F105,,,,,VKS,MFT,,,,E203,AKK,,,GG,,KSS,,KSS,,PROJECT,,C,,,,NEW/G309,,F106,,F106,,,,NA2,,GG,,GG,,,,
,11,16:20:00,LAB,,LAB,,LAB,,LAB,,,,,,UCS310 L,,,,,,,,,,,,,,,,,,,,DMG,,,,,,,,,,LAB,,LAB,,,,LAB,,,,,,,,,,,,,,,,,,,,,,,,LAB,,,,,,,,LAB,,LAB,,LAB,,LAB,,LAB,,UCS414 L,,,,,,,,,,LAB,,LAB,,LAB,,LAB,,,,UEC301 T,,,,LAB,,,,,,LAB-1,,E211,,E210,,E210,,LAB,,LAB,,,,LAB,,PMS,,PMS,,LAB-1,,LAB,,E211,,E211,,,11,16:20:00
,,,SAK,,SIK,,ASM,,KAS,,,,,,LT302,,,,,,,,,RRN,,,,,,,,,,,,,,,,,,,,,GAS,,VVK,,,,SWT,,,,,,,,,,,,,,,,,,,,,,,,KRK-RA,,,,,,,,JHB,,SKH,,PRM-RA,,HMK,,TNV-RA,,LT401,,,,,,,,,SAL,MA,,AAR,,SS,,SUK,,,,E203,APC8,,,MA,,,,,,MG,,,,,,,,NJ,,NHS,,,,AK,,,,,,MG,,JPR,,,,,,,,
,12,17:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,17:10:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,18:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,18:00:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,18:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,18:50:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,08:00:00,UTA024 P,,UTA024 P,,,,UCS310 P,,UCS411 P,,UCS411 P,,,,,,,,,,,,,,,,,,,,UCS310 P,,UCS415 L,,,,,,,,,,,,UCS415 P,,,,,,,,UTA026 P,,,,,,,,,,,,,,UCS414 P,,,,,,,,,,UES035 P,,,,UCS411 L,,,,,,,,,,,,,,UCS414 P,,UCS414 P,,,,,,,,UES018 P,,,,,,,,,,UEC404 P,,UEC513 P,,UES018 P,,,,UEC612 L,,,,,,,,UTA024 P,,UTA024 P,,UTA024 P,,,,,,,,UEC612 L,,,,,,,1,08:00:00
T,,,ED-1,,ED-1B,,,,DBMS-2,,SS-1,,SS-2,,,,,,,,,,,,,,,,,,,,DBMS-1,,LT302,,,,,,,,,MSH,,,DS-1,,,,,,,,WORKSHOP,,,,,,,,,,,,,,PL-3,,,,,,,,,,I&C,,,,LT401,,,,,,,,,JNE,,,,,NS-1,,NS2,,,,,,,,MFT,,,,,,,,,,DSP,,MCES,,MFT,,,,F104,DGS,,,,,,,ED-2,,PROJECT,,C,,,,,,,,F104,,,,,ARP,T,,
,2,08:50:00,LAB,,LAB,,,,LAB,,LAB,,LAB,,,,,,,,,,,,,,,,,,,,LAB,,UCS411 L,,,,,,,,,,,,LAB,,,,,,,,PKC,,,,,,,,,,,,,,LAB,,,,,,,,UNC401 L,,LAB,,,,UCS503 L,,,,,,,,,,,,,,LAB,,LAB,,,,,,,,LAB,,,,UEC301 L,,,,,,LAB,,LAB,,LAB,,UNC401 P,,UEC404 L,,UNC401 L,,,,,,LAB,,LAB,,LAB,,UNC401 L,,,,,,UEC404 L,,,,,,,2,08:50:00
H,,,ASM,,GUS-CRA,,,,RRN,,DAM-RA,,RIG-RA,,,,,,,,,,,,,,,,,,,,SKH,,LT302,,,,,,,,,ABJ,,,RMT,,,,,,,,,,,,,,,,,,,,,,SUS,,,,,,,,F107,VK,DBM,,,,LT401,,,,,,,,,HMK,,,,,SR,,VVK,,,,,,,,MA,,,,F105,,,,,HS,APC-7,,GDS,,MA,,F106,DGS,F104,RVK,F107,,,,,VK,RSD-RA,,PF-6,,PF9,,F106,,,,,DGS,F104,,,,,RVK,H,,
,3,09:40:00,UCS411 L,,,,,,,,,,,,,,UES035 P,,UCS310 P,,UES035 P,,UTA024 P,,UTA024 P,,UTA024 P,,,,,,UTA024 P,,,,UES035 P,,UES035 P,,,,,,,,UCS411 P,,,,,,UCS414 P,,,,,,,,,,,,,,UTA024 P,,,,UCS414 P,,,,UCS411 L,,,,UCS411 L,,UCS411 L,,,,,,,,UCS310 P,,UCS503 P,,UCS411 P,,UCS411 P,,UCS415 P,,UCS415 P,,UCS414 P,,UMA035 L,,,,,,,,UTA025 P,,,,UEC513 P,,UMA035 P,,UMA035 P,,UEC404 P,,UEC404 L,,UEC513 L,,UEC513 L,,,,,,UMA035 P,,UEC612 P,,UNC401 P,,UEC404 L,,,,,,UEC513 L,,,,,,,3,09:40:00
U,,,LT103,,,,,,,,,,,SAK,,,BMC,,DBMS-2,,IOT,,PROJECT,,ED-1A,,ED-2,,,,,,C,,,,TFS,,ISD,,,,,,,,PL-3,,,,,,NS-1,,,,,,,,,,,,,,ED-1B,,,,PL-4,,,,LT103,SAK,,,LT103,SAK,LT103,SAK,,,,,,,DBMS-1,,SE-1,,SS-1,,SS-2,,DS-1,,DS-2,,NS-2,,F105,,,,,,,JPR,E201,,,,MCES,,,,NA-1,,DSP,,F106,AKS,F104,DN,F107,,,,,KSS,PG,,FPGA,,AI,,F106,,,,,AKS,F104,,,,,DN,U,,
,4,10:30:00,UCS415 L,,,,,,,,,,,,,,LAB,,LAB,,LAB,,LAB,,LAB,,LAB,,,,,,LAB,,,,LAB,,LAB,,,,,,,,LAB,,,,,,LAB,,,,,,,,,,,,,,LAB,,,,LAB,,,,UCS415 L,,UEC404 L,,,,UCS415 L,,,,,,,,LAB,,LAB,,LAB,,LAB,,LAB,,LAB,,LAB,,UEC404 L,,,,,,,,ASO,,,,LAB,,LAB-1,,LAB,,LAB,,UEC513 L,,UNC401 L,,UEC404 L,,,,,,LAB,,LAB,,LAB,,UEC513 L,,,,,,UNC401 L,,,,,,,4,10:30:00
R,,,LT103,,,,,,,,,,,TBH,,,VKM,,AV,,NJS,,APC14,,NAW-RA,,AKV,,,,,,PF-5,,,,SNP,,SWT,,,,,,,,PRY-RA,,,,,,SHS,,,,,,,,,,,,,,RJH-RA,,,,MCL,,,,LT103,TBH,F107,KBS,,,LT103,TBH,,,,,,,HSM-RA,,ASH,,SOL,,SMR,,TNV-RA,,SUG,,SAL,,F105,,,,,,,SS,,,,,PF-1,,FM,,AK,,ST,,F106,NEC-5,F104,DGS,F107,,,,,KBS,LC11/LC12,,ARP,,AUS,,F106,,,,,NEC-5,F104,,,,,DGS,R,,
,5,11:20:00,UTA026 L,,,,,,,,,,,,UCS415 L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UCS411 L,,,,,,,,,,,,UES035 P,,UCS411 P,,UCS5415 P,,UCS310 P,,UES035 L,,,,,,,,,,UCS414 P,,UCS410 P,,UTA026 L,,,,,,,,,,,,,,UCS503 L,,,,,,,,,,UEC301 L,,,,,,,,,,UES018 P,,UTA025 P,,,,UEC404 T,,UEC867 T,,UTA024 P,,UEC404 P,,UMA035L,,,,,,UEC404 L,,,,,,UMA035 P,,UMA035 P,,UTA024 P,,UTA024 P,,UEC513 P,,UEC404 P,,,5,11:20:00
S,,,LT103,,,,,,,,,,,DMG,LT301,,,,,,,,,SHD,,,,,,,,,,,,,,,,,,,,,LT302,,,,,,,,,JNE,,,ISD,,SS-1,,DS-2,,DBMS-1,,LT402,,,,,,,,,DBM,NS-1,,PG,,LT103,DMG,,,,,,,,,,,,,LT401,,,,,,,,,ASH,F105,,,,,,,RAK,,,MFT,,E202,,,,E203,APC7,E209,AKC,PROJECT,,DSP,,F107,,,,,SJK,F106,,,,,SNJ,NEW/G309,,FIST,,PROJECT,,C,,MCES,,DSP,,S,,
,6,12:10:00,,,,,,,,,,,,,UCS310 L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UCS415 L,,,,,,,,,,,,LAB,,LAB,,LAB,,LAB,,UTA026 L,,,,,,,,,,LAB,,LAB,,UMA017 L,,,,,,,,,,,,,,UCS310 L,,,,,,,,,,,,,,,,,,,,LAB,,APH,,,,,,,,LAB,,LAB,,UEC612 L,,,,,,UNC401  L,,,,,,LAB,,LAB,,LAB,,LAB,,LAB,,LAB,,,6,12:10:00
D,,,,,,,,,,,,,,,LT301,,,,,,,,,RRN,,,,,,,,,,,,,,,,,,,,,LT302,,,,,,,,,SSA,,,ANP,,,,SCS-RA,,VAP,,LT402,,,,,,,,,PKC,CHK-RA,,SD,,T103,SJK,,,,,,,,,,,,,LT401,,,,,,,,,CHP,,,,,,,,,,,,,,,,,,,,,NJ,,AKK,,F107,,,,,AA,F106,,,,,AUS,VKS,,RJD,,APC6,,AMK-2,,KSS,,AKK,,D,,
,7,13:00:00,,,,,,,,,,,,,,,,,,,,,,,UES035 L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UCS310 L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,13:00:00
A,,,,,,,,,,,,,,,,,,,,,,,,,LT302,,,,,,,,,VKT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LT401 ,,,,,,,,,AAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,
,8,13:50:00,,,,,,,,,,,,,,,,,,,,,UCS414 P,,UCS310 L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UCS310 P,,UCS310 P,,UES035 P,,UES035 P,,,,UCS415 L,,,,,,,,,,UCS410 P,,UNC401 P,,,,,,UCS415 P,,UCS415 P,,UCS411 P,,UCS414 P,,UCS411 P,,,,,,,,,,,,,,,,UTA025 P,,,,UEC513 L,,,,,,,,,,UEC301 P,,,,,,UEC612 P,,UNC401 P,,,,,,,,,,UTA024 P,,UTA024 P,,UEC513 P,,,,UEC404 P,,,,,8,13:50:00
Y,,,,,,,,,,,,,,,,,,,,,,,NS-1,,LT302,,,,,,,,,SRO,,,,,,,,,,,,,,,,,,,,,DBMS-1,,DBMS-2,,IOT,,ISD,,,,LT401,,,,,,,,,SHD,PG,,AI,,,,,,DS-1,,DS-2,,SS-1,,NS2,,SS-2,,,,,,,,,,,,,,,,E203,,,,F105,,,,,NEC6,,,,,EL,,,,,,FPGA,,AI,,,,,,,,,,PROJECT,,C,,MCES,,,,DSP,,,,Y,,
,9,14:40:00,UES035 L,,,,,,,,,,,,,,,,,,,,LAB,,UCS415 L,,,,,,,,,,,,,,,,,,,,UES035 L,,,,,,,,,,LAB,,LAB,,LAB,,LAB,,,,UCS411 L,,,,,,,,,,LAB,,LAB,,UES035 L,,UES035 L,,LAB,,LAB,,LAB,,LAB,,LAB,,,,,,,,,,,,,,,,SCB,,,,UES018 L,,,,,,,,,,LAB,,UEC513 P,,,,LAB,,LAB,,,,UTA024 L,,,,,,LAB,,LAB,,LAB,,,,LAB,,,,,9,14:40:00
,,,LT103,,,,,,,,,,,RCH,,,,,,,,,SR,,LT302,,,,,,,,,SKK,,,,,,,,,,,LT402,,,,,,,,,SWT,RKR,,SKH,,ANP,,TA10,,,,LT401,,,,,,,,,SMR,SD,,,,LT103,RCH,LT103,RCH,MAK,,PLK-RA,,SAK,,MCL,,ABJ,,,,,,,,,,,,,,,,,,,,F105,,,,,MA/DG,,,,,AA,,MCES,,,,NHS,,AKV,,,,F106,,,,,ASM/MKA,NJ,,PF-7,,APC16,,,,AKS,,,,,,
,10,15:30:00,UCS414 L,,,,,,,,,,,,UCS411 L,,,,,,,,,,UCS414 P,,UCS411 P,,UCS310 P,,UCS310 P,,UCS411 P,,,,,,UES035 P,,UCS414 P,,UTA024 P,,UCS415 P,,UTA024 P,,UTA024 P,,,,UTA024 P,,UTA026 L,,,,,,,,,,UCS414 L,,,,,,,,,,UCS414 L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UEC404 T,,UEC513 P,,UMA035 P,,UEC301 P,,UEC867 T,,,,LAB,,UEC502 P,,,,UEC404 P,,,,UMA035 L,,,,,,UTA024 L,,,,,,,,UEC404 T,,,,,10,15:30:00
,,,LT103,,,,,,,,,,,SHS,LT302,,,,,,,,,SOL,NS-2,,SS-1,,DBMS-1,,DBMS-2,,SS-2,,,,,,DS-2,,NS-1,,PROJECT,,DS-1,,ED-1A,,ED-2,,,,C,,LT301,,,,,,,,,PCY,LT401,,,,,,,,,VVK,LT103,SHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E203,,MCES,,FIST,,EL,,E202,BG,,,,,AI,,,,DSP,,,,F106,,,,,TV,F107,,,,,SRO/RJS,,,B109,AKK,,,,,
,11,16:20:00,UCS310 L,,,,,,,,,,,,UTA026 L,,,,,,,,,,LAB,,LAB,,LAB,,LAB,,LAB,,,,,,LAB,,LAB,,LAB,,LAB,,LAB,,LAB,,,,LAB,,UES025 L,,,,,,,,,,UCS310 L,,,,,,,,,,UCS310 L,,UCS310 L,,UCS310 L,,UCS310 L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAB,,LAB,,RAK,,UEC301 T,,,,UTA024 L,,LAB,,,,LAB,,,,UEC404 T,,UEC612 T,,,,,,,,,,,,,,,,,11,16:20:00
,,,LT103,,,,,,,,,,,RKR,LT302,,,,,,,,,PKC,ANU-RA,,SIK,,HSM-RA,,VAP,,ADS-CRA,,,,,,MNS,,GAS,,HSS,,MSH,,NAD-RA,,GRC-RA,,,,PF9,,LT301,,,,,,,,,ANP,LT401,,,,,,,,,RRN,LT103,RKR,LT103,RKR,LT103,RKR,LT103,RKR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DN,,JPR,,,,E202,HS,,,F107,SRO/RJS,NHS,,,,KBS,,,,E204,SNJ,E203,MB,,,,,,,,,,,,,,,,,
,12,17:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,17:10:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,18:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,18:00:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,18:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,18:50:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,08:00:00,,,UCS415 P,,UCS411 P,,UCS411 P,,UTA024 P,,UTA024 P,,UTA026 P,,,,,,,,,,UTA026 L,,,,,,,,,,,,UCS310 P,,UCS310 P,,UTA024 P,,UTA024 P,,UCS310 L,,,,,,,,,,,,,,,,,,,,,,,,,,UCS415 P,,UCS414 P,,,,,,UTA026 P,,,,UCS414 P,,,,,,,,,,UCS411 L,,,,,,,,,,UES018 L,,,,,,,,,,,,,,UES018 L,,,,,,,,UNC401 L,,UMA035 P,,UMA035 P,,UEC404 P,,,,,,UTA024 P,,,,,,,,UNC401 L,,,,,,,1,08:00:00
F,,,,,DS-2,,SS-1,,SS-2,,PROJECT,,C,,WORKSHOP,,,,,,,,,,LT301,,,,,,,,,PCY,,,DBMS-1,,DBMS-2,,ED-1A,,ED-2,,LT302,,,,,,,,,SKH,,,,,,,,,,,,,,,,,DS-1,,NS-2,,,,,,WORKSHOP,,,,NS-1,,,,,,,,,,LT401 ,,,,,,,,,ABJ,F105,,,,,,,MA,,,,,,,F107,,,,,VKS-MA,,,F104,DGS,NA-1,,NA-2,,DSP,,,,,,ED-1B,,,,,,,,F104,,,,,DGS,F,,
,2,08:50:00,,,LAB,,LAB,,LAB,,LAB,,LAB,,SAT,,,,,,,,,,UCS411 L,,,,,,,,,,,,LAB,,LAB,,LAB,,LAB,,UCS414 L,,,,,,,,,,UES035 L,,,,,,,,,,,,,,,,LAB,,LAB,,,,UEC513 L,,LAB,,,,LAB,,,,,,,,,,UCS414 L,,,,,,,,,,UEC513 L,,,,,,,,,,,,,,UEC867 L,,,,,,UEC404 L,,UEC612 L,,LAB,,LAB,,LAB,,,,,,LAB,,,,,,,,UEC612 L,,,,,,,2,08:50:00
