0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153
R,,,,,MDY-RA,,SAK,,ADS-CRA,,PF-5,,PF-7,,,,,,,,,,,,LT301,,,,,,,,,SMR,,,RRN,,HSM-RA,,GRC-RA,,RJH-RA,,LT302,,,,,,,,,VVK,LT402,,,,,,,,,ANP,,,,,,,SHD,,ANY-RA,,,,F105,SKR,SAT,,,,CHK-RA,,,,,,,,,,LT401 ,,,,,,,,,SAL,F105,,,,,,,SKR,,,,,,,F107,,,,,BG,F106,AKS,F104,ARP,LC5/LC6,,LC9/LC10,,RVK,,,,,,KRK-RA,,,,,,,,F104,,,,,ARP,R,,
,3,09:40:00,UTA026 P,,,,,,,,,,,,UCS411 P,,UCS411 P,,UCS415 P,,UCS415 P,,UTA024 P,,,,,,,,,,,,UTA024 P,,,,,,UES035 P,,UES035 P,,UCS411 L,,,,,,,,,,,,,,UCS414 P,,UCS414 P,,UTA024 P,,UES035 P,,,,UES035 P,,,,UTA024 P,,UCS411 P,,UEC404 T,,UCS411 P,,UCS411 P,,UMA035 L,,,,,,,,,,UCS503 P,,UCS503 P,,,,UCS310 P,,UCS310 P,,UEC301 T,,UEC404 T,,UEC301 P,,UEC404 P,,UMA035 L,,,,,,UEC301 L,,,,,,UEC513 L,,UEC513 P,,UEC513 L,,,,,,,,,,,,UEC513 L,,,,,,UEC612 P,,UNC401 P,,UEC513 P,,,3,09:40:00
I,,,WORKSHOP,,,,,,,,,,,,SS-1,,SS-2,,DS-1,,DS-2,,ED-1A,,,,,,,,,,,,ED-2,,,,,,IOT,,BMC,,LT302,,,,,,,,,JNE,,,,,NS-1,,NS-2,,PROJECT,,TFS,,,,ISD,,,,C,,GC-1,,E203,ST,GC-1,,GC-1,,LT401,,,,,,,,,RKR,SE-1,,SE-2,,,,DBMS-1,,DBMS-2,,E209,HS,E203,ST,EL,,DSP,,F105,,,,,VKS,F107,,,,,AAR,F106,NEC-5,MCES,,F104,,,,,KSS,,,,,,,F106,,,,,NEC-5,FPGA,,AI,,MCES,,I,,
,4,10:30:00,DMG,,,,,,,,,,,,LAB,,LAB,,LAB,,LAB,,LAB,,,,,,,,,,,,LAB,,,,,,LAB,,LAB,,UCS415 L,,,,,,,,,,,,,,LAB,,LAB,,LAB,,LAB,,,,LAB,,,,LAB,,LAB,,,,LAB,,LAB,,UCS414 L,,,,,,,,,,LAB,,LAB,,,,LAB,,LAB,,,,UEC867 T,,LAB,,LAB,,UEC404 L,,,,,,UEC513 L,,,,,,UEC612 L,,LAB,,UMA035 L,,,,,,UEC612 T,,,,,,UEC612 L,,,,,,LAB,,LAB,,LAB,,,4,10:30:00
D,,,,,,,,,,,,,,,ABJ,,SIK,,MSH,,SKK,,NAD-RA,,,,,,,,,,,,SRO,,,,,,SNP,,,,LT302,,,,,,,,,SSA,,,,,SR,,TAG,,APC12,,TA8,,,,DBM,,,,APC14,,PRY-RA,,,,PRY-RA,,PRY-RA,,LT401,,,,,,,,,MCL,PRM-RA,,ISH-RA,,,,AAD,,RKR,,,,E203,BG,APC8,,APC-7,,F105,,,,,AKK,F107,,,,,SUK,F106,MB,DN,,F104,,,,,SJK,E209,AS,,,,,F106,,,,,MB,MB,,DGS,,PV,,D,,
,5,11:20:00,UCS415 L,,,,,,,,,,,,UCS411 L,,,,,,,,,,UCS415 P,,UCS415 P,,UES035 P,,UCS414 P,,UCS414 P,,,,,,,,,,,,UCS310 P,,UCS310 P,,UCS411 P,,UCS411 P,,UES035 P,,UES035 P,,,,,,UCS411 P,,UTA024 P,,,,,,,,,,,,UCS415 L,,,,,,UCS415 L,,UCS411 L,,,,,,,,,,,,,,,,,,,,UTA025 P,,,,UEC513 P,,UES018 P,,UEC867 L,,,,,,UEC404 L,,,,,,UMA035 L,,UTA024 P,,,,,,UEC404 T,,UEC513 L,,,,,,UMA035 L,,,,,,UTA024 P,,UTA024 P,,UTA024 P,,,5,11:20:00
A,,,LT103,,,,,,,,,,,TBH,LT302,,,,,,,,,SOL,PL-1,,PL-2,,BMC,,NS-1,,NS-2,,,,,,,,,,,,DBMS-1,,DBMS-2,,SS-1,,SS-2,,IOT,,ISD,,,,,,PL-3,,ED-2,,,,,,,,,,,,LT103,TBH,,,,,LT103,TBH,LT401,,,,,,,,,JNE,,,,,,,,,,,E202,,,,MCES,,MFT,,F105,,,,,RPN,F107,,,,,ST,F104,FM,C,,,,,,E209,RVK,F106,,,,,GDS,F104,,,,,FM,ED-1A,,PROJECT,,C,,A,,
,6,12:10:00,UCS411 L,,,,,,,,,,,,UES035 L,,,,,,,,,,LAB,,LAB,,LAB,,LAB,,LAB,,,,,,,,,,,,LAB,,LAB,,LAB,,LAB,,LAB,,LAB,,,,,,LAB,,LAB,,,,,,,,,,,,UCS414 L,,,,,,,,UCS415 L,,,,,,,,,,,,,,,,,,,,SCB,,,,LAB,,LAB,,UEC513 L,,,,,,UMA035 L,,,,,,,,LAB,,,,,,,,UEC612 L,,,,,,UEC404 T,,UEC404 T,,,,LAB,,LAB,,LAB,,,6,12:10:00
Y,,,LT103,,,,,,,,,,,SHS,LT302,,,,,,,,,VKM,DPK,,SCS-RA,,VKT,,GAS,,TAG,,,,,,,,,,,,CHP,,NSH-RA,,SBN-RA,,DET,,SWT,,ANP,,,,,,SMR,,RSD-RA,,,,,,,,,,,,LT103,SHS,,,,,,,LT401,,,,,,,,,MSH,,,,,,,,,,,,,,,APC16,,MA,,F105,,,,,PV,F107,,,,,MR,,,PF7,,,,,,,,F106,,,,,AS,E203,SNJ,E209,AKS,,,KRK-RA,,PF5,,AM,,Y,,
,7,13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UCS310 L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UTA026 L,,,,,,,,,,,,,,,,UMA035 L,,,,,,,,,,,,UMA035 L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,13:00:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LT302,,,,,,,,,AAD,,,,,,,,,,,,,,,,,,,,,LT301,,,,,,,,,PKC,,,,,,,LT401 ,NK,,,,,,,,,,,LT401 ,,,,,,,,,RJD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,13:50:00,UCS415 P	,,,,,,,,,,,,,,,,,,,,,,UCS411 P,,UCS414 P,,UCS414 P,,UCS411 P,,UCS415 P,,UCS411 L,,,,,,,,,,,,,,UTA024 P,,UTA024 P,,UCS310 P,,UCS415 L,,,,,,,,,,UCS415 P,,UCS415 P,,UCS411 P,,UCS411 P,,,,UCS310 P,,UCS310 P,,UCS310 P,,UCS310 P,,,,,,,,,,,,,,,,,,,,,,UES018 P,,,,,,,,,,,,UES018 P,,UES018 P,,,,,,UEC612 P,,UNC401 P,,UEC404 P,,UEC513 P,,UMA035 P,,,,UTA024 P,,,,,,,,UEC612 P,,,,,,UNC401 P,,,8,13:50:00
,,,PL-V,,,,,,,,,,,,,,,,,,,,,,SS-1,,NS-1,,NS-2,,SS-2,,PL-1,,LT302,,,,,,,,,ABJ,,,,,PROJECT,,C,,DBMS-1,,LT401,,,,,,,,,MNS,DS-1,,DS-2,,PL-3,,PL-4,,,,PL-2,,PL-2,,DBMS-2,,DBMS-2,,,,,,,,,,,,,,,,,,,,,,WORKSHOP,,,,,,,,,,,,MFT,,WORKSHOP,,,,,,FPGA,,AI,,DSP,,MCES,,NA-2,,,,ED-2,,,,,,,,FPGA,,,,,,AI,,,,
,9,14:40:00,LAB,,,,,,,,,,,,,,,,,,,,,,LAB,,LAB,,LAB,,LAB,,LAB,,UCS414 L,,,,,,,,,,,,,,LAB,,LAB,,LAB,,UCS411 L,,,,,,,,,,LAB,,LAB,,LAB,,LAB,,,,LAB,,LAB,,LAB,,LAB,,,,,,,,,,,,,,,,,,,,,,DG,,,,,,,,,,,,LAB,,VKS,,,,,,LAB,,LAB,,LAB,,LAB,,LAB,,,,LAB,,,,,,,,LAB,,,,,,LAB,,,9,14:40:00
,,,TBH,,,,,,,,,,,,,,,,,,,,,,PRY-RA,,SAL,,GAS,,ATI,,SKK,,LT302,,,,,,,,,MCL,,,,,APC14,,APC12,,HSM-RA,,LT401,,,,,,,,,SIK,MSH,,SSA,,RIG-RA,,SEW,,,,DAM-RA,,DAM-RA,,ARS-RA,,ARS-RA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MA,,,,,,,,MB,,DGS,,AKS,,DN,,FM,,,,RJH-RA,,,,,,,,MB,,,,,,DGS,,,,
,10,15:30:00,,,,,,,,,,,,,UCS414 P,,UCS414 P,,UCS411 P,,UCS411 P,,,,UTA026 P,,,,,,,,,,UCS415 P,,UCS415 P,,,,UCS310 P,,UCS310 P,,UTA024 P,,,,,,,,,,UCS414 L,,,,,,,,,,UES035 L,,,,,,,,,,UTA024 P,,,,,,,,,,,,,,,,,,,,,,,,,,,,UES018 L,,,,,,,,,,,,,,UES018 L,,,,,,,,,,UTA024 P,,,,,, ,,UEC513 P,,,,,,,,,,,,,,,,,10,15:30:00
,,,,,,,,,,,,,,,NS-1,,NS-2,,SS-1,,SS-2,,,,WORKSHOP,,,,,,,,,,DS-2,,DS-1,,,,DBMS-1,,DBMS-2,,ED-1A,,,,,,,,,,LT401,,,,,,,,,TAG,LT301,,,,,,,,,DBM,PROJECT,,,,,,,,,,,,,,,,,,,,,,,,,,,,F106,,,,,,,VKS,,,,,,,F106,,,,,VKS,,,,,ED-2,,,,,,DSP,,MCES,,,,,,,,,,,,,,,,,,
,11,16:20:00,,,,,,,,,,,,,LAB,,LAB,,LAB,,LAB,,,,PKC,,,,,,,,,,LAB,,LAB,,,,LAB,,LAB,,LAB,,,,,,,,,,UCS310 L,,,,,,,,,,,,,,,,,,,,LAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAB,,,,,,LAB,,LAB,,,,,,,,,,,,,,,,,11,16:20:00
,,,,,,,,,,,,,,,RAT-RA,,ANU-RA,,ADS-CRA,,SIK,,,,,,,,,,,,,,MNS,,KUA-RA,,,,DAM-RA,,AV,,GRC-RA,,,,,,,,,,LT401,,,,,,,,,VAP,,,,,,,,,,,APC6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RSD-RA,,,,,,SNJ,,APC16,,,,,,,,,,,,,,,,,,
,12,17:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,17:10:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,18:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,18:00:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,18:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,18:50:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,08:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,08:00:00
S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,
,2,08:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,08:50:00
A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,
,3,09:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,09:40:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T,4,10:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,4,10:30:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U,5,11:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,5,11:20:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,6,12:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,6,12:10:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,7,13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,7,13:00:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,8,13:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,8,13:50:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,9,14:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,9,14:40:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,15:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,15:30:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,16:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,16:20:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,17:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,17:10:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,18:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,18:00:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,18:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,18:50:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOTAL,,
HOURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOURS,,
SIGNATURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIGNATURE,,
